"artist_name","artist_popularity","followers","track_name_es","track_popularity_es","genius_url_es"
"Morad",80,3996737,"Sigue",77,"https://genius.com/Beny-jr-morad-and-k-y-b-sigue-lyrics"
"Morad",80,3996737,"Lo Que Tiene",75,"https://genius.com/Morad-beny-jr-and-rvfv-lo-que-tiene-lyrics"
"Morad",80,3996737,"SE FUE",74,"https://genius.com/Moncho-chavea-and-morad-se-fue-lyrics"
"Beny Jr",76,1749916,"Luna llena",73,"https://genius.com/Beny-jr-luna-llena-lyrics"
"Beny Jr",76,1749916,"Triple Impacto",68,"https://genius.com/Beny-jr-and-julianno-sosa-triple-impacto-lyrics"
"Beny Jr",76,1749916,"Eurovision (feat. Rondodasosa, Baby Gang, A2 Anti, Morad, Beny Jr, Ashe 22 & Freeze corleone)",66,"https://genius.com/Ovo-sound-radio-ovo-sound-radio-season-4-episode-5-tracklist-lyrics"
"JC Reyes",75,1169752,"BADGYAL",72,"https://genius.com/Saiko-jc-reyes-and-dei-v-badgyal-lyrics"
"JC Reyes",75,1169752,"STAR",72,"https://genius.com/Jc-reyes-star-lyrics"
"JC Reyes",75,1169752,"FARDOS",69,"https://genius.com/Jc-reyes-and-de-la-ghetto-fardos-lyrics"
"Rvfv",74,854664,"Desespero",65,"https://genius.com/Morad-and-rvfv-desespero-lyrics"
"Rvfv",74,854664,"Casanova",63,"https://genius.com/Soolking-lola-indigo-and-rvfv-casanova-lyrics"
"Rvfv",74,854664,"Orgullosa De Papá",58,"https://genius.com/Cano-and-rvfv-orgullosa-de-papa-lyrics"
"SAIKO",74,1629697,"COSAS QUE NO TE DIJE",76,"https://genius.com/Saiko-cosas-que-no-te-dije-lyrics"
"SAIKO",74,1629697,"Juguete",71,"https://genius.com/Yan-block-ntg-and-saiko-juguete-lyrics"
"SAIKO",74,1629697,"REINA",69,"https://genius.com/Mora-and-saiko-reina-lyrics"
